,Lat,Temp,Humidity,Cloudiness,Windspeed
0,5.39,81.19,88,75,4.18
1,45.05,55.98,66,0,3.36
2,51.83,57.56,22,75,8.05
3,19.86,80.51,74,0,23.49
4,48.69,46.81,53,0,4.7
5,48.6,54.52,66,0,6.93
6,36.28,58.73,63,0,4.36
7,56.27,31.55,73,93,8.28
8,40.91,51.84,87,20,11.41
9,41.02,51.58,61,3,5.01
10,42.67,56.95,67,0,11.41
11,41.0,56.43,77,100,21.41
12,44.22,48.4,81,20,8.05
13,47.24,50.09,76,0,4.03
14,33.6,73.24,69,75,6.93
15,51.87,52.07,81,69,6.93
16,19.54,85.15,48,20,13.87
17,42.02,52.99,81,20,10.29
18,36.63,72.88,57,75,6.93
19,50.73,51.42,81,0,3.36
20,48.59,50.86,49,0,5.82
21,45.46,55.51,54,0,12.75
22,38.87,42.91,81,40,2.33
23,48.68,51.8,76,0,9.17
24,51.83,50.31,61,0,8.05
25,45.0,55.11,62,0,4.7
26,43.64,59.18,77,100,9.17
27,52.09,45.84,100,96,5.82
28,43.33,58.5,82,0,6.93
29,32.64,69.62,56,20,18.34
30,54.17,44.78,75,0,8.05
31,16.32,83.93,67,12,0.94
32,49.42,45.05,89,98,6.49
33,45.67,53.46,58,0,12.75
34,30.13,64.85,71,81,6.64
35,49.0,47.61,65,1,5.86
36,52.59,45.72,91,0,6.78
37,48.54,54.32,67,0,10.29
38,46.64,47.61,70,1,3.36
39,42.66,46.4,81,75,6.93
40,33.51,77.43,38,75,5.82
41,48.84,55.47,62,0,11.41
42,-18.06,75.29,85,89,2.71
43,40.2,54.48,58,20,3.36
44,16.48,96.89,30,0,10.33
45,54.18,44.51,78,0,16.51
46,41.25,35.6,69,40,3.36
47,41.19,55.27,77,100,6.42
48,49.53,49.69,76,0,11.41
49,34.45,75.94,36,1,12.75
50,41.7,69.39,77,75,16.11
51,-9.64,80.69,77,0,8.39
52,-7.71,67.73,99,100,0.36
53,54.04,35.6,80,0,4.47
54,42.12,63.46,55,0,13.87
55,48.26,48.58,42,15,4.7
56,55.17,26.01,52,83,3.69
57,8.08,77.0,94,20,2.24
58,53.94,35.6,80,0,4.47
59,35.15,54.1,82,20,6.93
60,39.29,60.89,36,20,20.8
61,45.8,48.65,76,0,5.35
62,39.48,54.54,32,1,21.92
63,53.1,48.33,85,98,7.9
64,37.22,57.49,72,75,13.87
65,51.76,31.73,44,0,10.89
66,41.17,54.72,71,40,4.7
67,34.37,43.43,40,0,4.56
68,-8.37,71.87,82,0,3.27
69,47.43,50.02,70,0,2.24
70,39.02,63.95,25,16,11.88
71,35.64,61.16,87,0,3.36
72,20.13,87.8,15,5,8.05
73,35.22,77.0,43,85,6.93
74,44.78,48.31,81,60,11.41
75,51.01,50.43,87,97,1.12
76,40.83,58.44,30,90,11.41
77,42.91,53.53,93,75,3.36
78,14.79,81.72,79,75,2.24
79,50.97,49.37,61,0,3.36
80,42.77,46.4,90,75,3.36
81,52.57,46.27,93,40,4.7
82,-8.56,70.43,97,0,2.51
83,46.28,56.86,76,18,3.02
84,8.4,88.45,44,20,16.11
85,42.36,55.02,87,96,4.7
86,50.75,50.77,71,0,2.24
87,49.37,51.17,50,0,12.75
88,36.44,77.52,41,90,13.87
89,51.93,46.94,93,75,8.05
90,43.93,49.03,76,0,11.41
91,50.06,48.56,93,36,2.24
92,49.97,44.35,75,0,2.24
93,-34.82,55.33,69,43,8.99
94,47.06,57.0,58,0,10.29
95,49.89,53.69,47,0,9.17
96,48.42,55.6,76,0,11.41
97,52.01,51.46,66,0,5.82
98,49.55,41.45,81,75,2.24
99,51.28,48.78,93,100,16.11
100,-25.24,78.8,57,0,4.7
101,39.27,53.8,38,0,9.75
102,24.84,71.6,78,75,4.7
103,43.76,44.51,82,70,4.41
104,45.03,48.2,81,34,11.41
105,17.16,86.45,55,0,2.64
106,39.94,55.13,67,3,16.2
107,56.18,36.05,48,100,4.45
108,59.23,40.24,52,91,4.7
109,33.4,62.69,66,23,8.84
110,52.12,54.12,100,93,3.36
111,42.87,56.89,41,0,19.46
112,41.28,70.29,40,1,3.09
113,53.63,39.2,55,75,11.18
114,40.82,53.01,81,40,4.7
115,54.55,44.89,81,0,5.82
116,53.65,47.57,73,0,6.38
117,0.05,76.01,85,78,2.95
118,53.31,48.2,93,90,5.82
119,50.58,45.09,53,0,4.7
120,35.1,72.63,73,90,12.75
121,34.1,50.63,44,0,14.43
122,50.06,50.16,81,0,10.29
123,-7.55,70.07,95,90,1.77
124,13.42,91.4,41,0,9.17
125,56.1,41.95,51,0,2.24
126,42.88,45.5,61,40,3.36
127,41.04,56.16,87,75,5.82
128,34.22,65.39,40,100,11.36
129,-7.49,74.03,95,100,2.19
130,52.45,47.57,52,0,3.36
131,38.6,56.23,87,20,13.87
132,48.44,46.89,70,0,1.12
133,23.66,74.39,83,40,2.24
134,19.97,87.8,62,40,10.29
135,27.48,70.79,79,26,1.99
136,15.44,90.41,43,25,9.64
137,38.65,54.79,76,20,11.41
138,-32.0,54.52,87,100,3.36
139,49.49,49.89,66,0,9.17
140,49.36,53.01,47,0,4.7
141,42.76,63.18,55,20,12.75
142,51.26,54.77,71,0,3.36
143,-8.55,77.63,84,3,4.27
144,50.12,45.09,61,0,5.82
145,44.5,53.69,66,0,8.05
146,-8.64,79.43,89,100,3.31
147,47.21,48.33,26,1,12.75
148,43.74,40.03,93,75,11.18
149,43.46,54.91,71,0,32.21
150,40.44,40.26,93,0,2.24
151,26.56,68.0,34,0,8.05
152,-25.52,74.61,78,0,2.24
153,53.44,46.62,57,0,8.05
154,40.16,58.82,62,75,9.17
155,40.08,25.25,97,100,3.42
156,27.56,63.59,94,100,2.82
157,43.55,49.55,70,0,2.24
158,43.67,44.6,100,90,15.66
159,44.94,56.14,62,0,4.7
160,48.91,53.64,76,14,5.82
161,49.8,52.81,43,20,12.75
162,52.49,50.77,46,0,6.93
163,51.99,40.73,72,0,6.76
164,49.86,51.62,50,0,12.75
165,42.4,54.34,100,75,4.7
166,40.97,55.96,71,40,4.7
167,-23.84,71.85,77,4,5.82
168,40.32,51.15,87,0,9.17
169,-6.23,76.01,86,93,1.39
170,-8.31,73.31,91,19,2.91
171,50.21,49.1,52,21,5.97
172,48.91,45.41,84,99,10.76
173,-27.32,62.33,83,0,5.35
174,43.39,57.81,67,75,9.17
175,47.97,50.67,76,0,4.7
176,-16.34,48.65,77,94,8.97
177,42.41,43.0,72,4,3.89
178,29.09,59.09,81,18,4.72
179,52.58,51.44,81,75,8.05
180,42.68,60.3,13,20,4.7
181,43.37,60.93,82,0,9.17
182,43.26,51.15,70,40,18.34
183,49.93,46.53,61,0,5.82
184,38.15,54.0,79,67,11.01
185,-16.82,69.89,83,40,11.41
186,25.67,58.37,53,0,12.1
187,29.8,56.57,83,12,3.85
188,24.36,77.0,83,6,1.5
189,58.47,32.45,79,81,0.94
190,44.83,54.68,66,0,8.05
191,53.36,55.72,66,100,21.92
192,36.82,64.17,72,0,6.93
193,50.06,48.22,66,0,6.93
194,49.6,50.67,50,0,12.75
195,-2.35,63.23,93,100,2.66
196,8.38,73.99,86,94,5.99
197,-21.58,74.21,41,0,10.07
198,46.72,57.43,76,0,11.41
199,50.52,45.54,87,0,3.36
200,41.54,54.82,76,90,10.29
201,10.09,78.31,45,40,4.7
202,42.26,52.66,93,100,8.05
203,52.33,55.96,71,90,9.17
204,49.31,52.03,43,20,12.75
205,59.84,39.94,65,0,6.71
206,23.74,67.73,92,93,2.59
207,34.07,72.18,41,1,11.41
208,2.13,77.0,100,75,2.06
209,47.81,56.8,58,0,5.82
210,40.29,54.55,35,40,9.17
211,56.45,45.27,81,73,5.59
212,45.55,54.12,76,0,3.36
213,27.04,64.85,72,60,3.53
214,44.74,42.89,85,81,3.38
215,41.0,50.0,66,75,11.41
216,48.68,42.71,70,98,9.84
217,17.92,77.0,94,40,2.24
218,43.28,56.3,87,90,9.17
219,48.91,35.19,47,0,22.37
220,57.55,46.24,65,0,6.93
221,54.55,45.16,93,21,5.82
222,48.9,50.2,81,0,9.17
223,39.38,42.89,84,100,0.76
224,47.45,50.94,66,0,11.41
225,41.63,75.18,53,90,16.11
226,-6.13,80.6,88,20,9.73
227,29.21,70.07,62,0,5.44
228,52.71,51.6,54,0,8.66
229,46.19,55.4,76,0,8.05
230,47.49,50.32,81,0,3.74
231,20.69,84.2,17,5,11.41
232,19.29,79.25,84,0,11.12
233,10.48,86.45,62,100,6.33
234,40.55,59.36,82,75,5.82
235,-6.84,74.21,95,97,4.05
236,59.85,40.06,65,0,6.71
237,36.14,66.99,24,0,7.0
238,41.17,46.4,65,0,39.15
239,37.94,53.6,93,20,12.75
240,38.45,52.39,79,100,11.01
241,52.77,49.39,93,40,8.05
242,53.92,29.21,41,0,6.73
243,29.8,60.71,75,35,5.14
244,54.38,44.51,66,0,15.79
245,41.72,53.33,80,100,6.08
246,47.83,47.86,56,0,4.7
247,-39.48,51.53,55,9,1.77
248,-13.44,74.39,75,96,6.2
249,51.27,19.31,54,0,4.59
250,45.53,56.52,54,0,10.29
251,37.98,59.47,82,75,23.04
252,40.52,59.38,82,75,5.82
253,50.41,52.45,47,90,7.09
254,51.47,51.89,61,0,3.36
255,-28.5,66.74,100,40,6.93
256,41.78,53.6,100,75,4.7
257,52.85,56.43,33,100,5.82
258,47.36,45.27,66,75,1.12
259,52.33,54.75,33,0,4.7
260,33.74,58.91,80,0,8.55
261,59.33,40.5,56,63,2.24
262,53.45,57.83,33,25,10.98
263,41.39,61.41,26,1,5.82
264,-23.65,66.2,68,0,12.75
265,36.12,56.32,76,75,5.82
266,51.51,45.54,54,13,5.26
267,54.47,45.14,81,0,5.82
268,46.54,43.48,70,20,4.7
269,-7.03,68.81,91,28,2.68
270,50.07,58.73,23,45,15.37
271,50.13,51.48,87,100,27.51
272,48.0,49.01,57,0,9.17
273,40.33,50.81,30,0,12.57
274,12.3,90.59,6,0,8.32
275,26.05,68.92,34,0,8.05
276,45.86,50.56,76,0,3.36
277,42.46,51.1,87,0,4.7
278,41.59,57.15,76,40,10.29
279,41.12,54.93,81,40,4.7
280,53.21,53.28,76,20,12.75
281,46.48,53.47,66,0,4.7
282,43.81,51.19,66,0,3.36
283,41.37,46.4,70,40,3.36
284,43.46,50.65,76,0,3.36
285,45.74,53.19,71,0,5.82
286,50.44,54.1,47,0,9.17
287,-0.33,79.25,66,84,2.3
288,51.08,48.33,53,0,4.7
289,50.53,44.44,53,0,4.7
290,-30.14,61.41,88,2,10.29
291,49.53,38.03,58,86,9.44
292,47.2,57.6,67,0,9.17
293,9.62,77.0,83,20,3.36
294,48.81,54.66,66,0,6.93
295,43.44,57.13,82,0,6.93
296,46.2,54.37,66,0,4.7
297,41.62,51.8,81,20,10.29
298,11.28,84.11,72,100,6.02
299,41.42,67.95,63,75,4.7
300,-8.32,77.0,94,40,2.24
301,48.71,55.44,66,0,10.29
302,50.37,44.44,61,0,6.93
303,50.94,53.56,35,63,1.99
304,50.83,52.83,66,0,3.36
305,49.52,50.18,66,0,9.17
306,37.63,59.52,82,75,23.04
307,10.8,83.03,75,43,7.07
308,48.13,52.36,54,75,12.75
309,50.47,50.88,76,100,6.93
310,42.23,73.0,49,90,11.41
311,52.3,49.39,52,0,3.36
312,50.47,54.01,47,0,9.17
313,28.22,59.99,43,0,3.31
314,47.06,47.57,80,94,10.51
315,49.83,48.92,76,0,11.41
316,61.17,31.01,78,100,1.74
317,51.2,40.91,74,0,7.45
318,-33.87,60.69,100,90,1.12
319,25.13,60.71,52,0,8.19
320,41.58,50.0,71,90,8.05
321,32.75,81.5,21,1,12.75
322,40.4,48.6,87,20,11.41
323,31.54,55.27,77,40,6.93
324,40.64,53.76,58,20,3.36
325,19.15,80.6,65,5,11.41
326,50.93,52.92,61,0,3.36
327,-5.71,78.89,41,69,5.5
328,57.94,45.32,65,0,6.93
329,-7.73,84.29,80,100,15.68
330,-36.67,46.0,84,9,5.99
331,41.42,54.01,93,40,12.75
332,53.34,43.0,75,0,1.99
333,45.19,54.5,62,0,4.7
334,38.55,53.42,76,20,11.41
335,51.38,53.28,43,75,2.24
336,46.53,47.93,85,31,7.25
337,26.07,65.21,96,100,3.24
338,62.5,33.17,85,0,4.7
339,41.99,56.46,32,0,11.41
340,57.45,26.15,91,81,3.96
341,47.51,48.99,35,0,3.0
342,45.76,54.36,71,0,5.82
343,44.61,58.17,59,0,10.29
344,-8.13,66.65,97,40,1.95
345,49.41,48.76,65,1,5.75
346,-7.14,74.21,95,97,4.05
347,49.97,46.18,61,0,6.93
348,45.89,54.03,71,0,5.82
349,49.84,44.15,61,40,4.7
350,48.96,50.04,42,42,4.7
351,42.83,52.21,93,0,5.82
352,20.28,90.59,8,0,10.65
353,50.12,51.58,87,100,27.51
354,43.48,53.37,76,0,20.8
355,45.63,56.95,58,0,6.93
356,-8.05,66.65,97,40,1.95
357,29.49,62.15,67,0,2.08
358,48.18,34.9,59,75,20.8
359,18.58,97.0,51,0,1.01
360,42.05,58.75,27,100,9.17
361,57.72,32.0,47,0,3.47
362,47.0,57.24,58,0,10.29
363,46.63,47.8,76,47,3.36
364,41.16,48.2,87,20,11.41
365,47.39,50.13,71,0,4.7
366,-12.85,82.4,83,0,3.36
367,50.64,51.67,66,0,3.36
368,40.09,50.97,93,5,1.12
369,48.5,48.94,42,1,4.7
370,38.71,57.15,87,20,13.87
371,53.21,56.16,50,90,9.17
372,-8.06,72.77,93,18,1.9
373,50.44,51.73,66,0,3.36
374,51.24,49.98,61,0,3.36
375,29.76,62.01,78,91,3.11
376,51.94,42.91,60,0,4.23
377,52.62,56.62,43,100,9.17
378,39.95,50.63,52,1,2.17
379,45.73,55.81,47,0,16.11
380,38.78,57.04,87,40,12.75
381,55.87,44.47,81,83,13.87
382,-34.15,54.23,86,42,3.8
383,37.97,52.41,81,20,2.75
384,44.65,57.43,62,0,6.93
385,-40.92,52.34,81,20,5.82
386,22.59,77.0,83,20,4.12
387,16.18,78.53,64,0,1.5
388,42.25,54.97,66,0,16.11
389,52.25,51.3,66,0,5.82
390,54.08,46.74,93,95,9.17
391,49.78,50.86,66,0,6.93
392,40.88,76.5,47,40,25.28
393,-8.18,66.65,97,40,1.95
394,48.22,49.86,49,0,5.82
395,51.26,56.35,54,90,6.93
396,50.91,44.6,66,0,1.12
397,50.98,52.12,76,82,8.05
398,-18.92,66.2,88,75,3.36
399,53.81,26.6,58,9,6.71
400,53.74,46.8,75,0,8.05
401,39.95,42.89,75,54,1.12
402,38.87,53.92,81,0,14.99
403,42.33,48.56,99,100,2.93
404,50.6,60.8,19,1,12.75
405,41.51,67.53,63,75,4.7
406,41.51,56.25,19,1,11.41
407,46.7,50.52,66,0,4.7
408,-27.49,84.65,41,6,8.61
409,55.21,40.32,55,0,6.71
410,-27.76,52.43,17,100,2.75
411,45.44,55.96,71,0,5.82
412,46.29,46.87,62,0,1.12
413,6.95,75.2,94,40,3.36
414,-11.87,82.4,78,20,8.05
415,47.17,48.96,66,75,1.12
416,50.72,47.88,61,0,3.36
417,49.57,51.76,81,0,12.75
418,44.71,49.39,76,90,14.99
419,42.22,43.02,61,40,3.36
420,48.19,49.33,49,0,5.82
421,-8.29,82.85,78,25,10.22
422,49.53,50.05,87,0,6.8
423,42.51,51.87,99,95,3.0
424,45.47,59.56,58,0,5.82
425,5.4,58.37,85,99,2.77
426,53.53,48.0,54,0,1.01
427,59.56,22.37,80,66,5.39
428,53.36,51.8,32,75,14.99
429,44.97,56.35,62,0,6.93
430,39.15,65.53,49,1,8.05
431,34.95,33.17,86,87,2.01
432,45.27,55.29,87,0,3.36
433,8.43,76.66,59,40,10.29
434,11.57,68.63,84,100,1.72
435,16.67,87.53,46,0,0.6
436,44.03,48.99,81,48,3.65
437,37.15,60.33,82,0,4.7
438,37.76,44.89,65,75,8.05
439,35.19,70.39,38,75,11.41
440,13.93,77.0,92,79,1.41
441,1.39,69.8,77,75,4.7
442,14.72,93.2,49,75,11.41
443,-8.78,82.13,75,12,6.8
444,42.04,36.77,96,100,6.51
445,26.33,77.0,88,75,3.6
446,50.24,48.0,73,72,4.0
447,-28.63,69.53,76,0,1.01
448,-35.38,50.45,74,23,5.59
449,44.4,52.16,81,0,3.6
450,40.29,54.7,40,90,5.82
451,-3.7,77.45,96,92,3.62
